movieId,genres,tagId,relevance
1,Adventure|Animation|Children|Comedy|Fantasy,564.5,0.163381870567376
2,Adventure|Children|Fantasy,564.5,0.12220523049645397
3,Comedy|Romance,564.5,0.09211015070922003
4,Comedy|Drama|Romance,564.5,0.08731804078014167
5,Comedy,564.5,0.09396631205673765
6,Action|Crime|Thriller,564.5,0.15939184397163123
7,Comedy|Romance,564.5,0.09540669326241133
8,Adventure|Children,564.5,0.07865979609929066
9,Action,564.5,0.08111613475177312
10,Action|Adventure|Thriller,564.5,0.12709485815602822
11,Comedy|Drama|Romance,564.5,0.11939450354609923
12,Comedy|Horror,564.5,0.078315824468085
13,Adventure|Animation|Children,564.5,0.0804040336879432
14,Drama,564.5,0.12266843971631214
15,Action|Adventure|Romance,564.5,0.09818173758865238
16,Crime|Drama,564.5,0.16056471631205635
17,Drama|Romance,564.5,0.11345611702127653
18,Comedy,564.5,0.11069592198581556
19,Comedy,564.5,0.10865913120567362
20,Action|Comedy|Crime|Drama|Thriller,564.5,0.08967375886524817
21,Comedy|Crime|Thriller,564.5,0.12691511524822688
22,Crime|Drama|Horror|Mystery|Thriller,564.5,0.108627659574468
23,Action|Crime|Thriller,564.5,0.09262987588652478
24,Drama|Sci-Fi,564.5,0.11759552304964552
25,Drama|Romance,564.5,0.14577482269503575
26,Drama,564.5,0.10570412234042549
27,Children|Drama,564.5,0.09025797872340421
28,Drama|Romance,564.5,0.096075354609929
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,564.5,0.17641445035460993
30,Crime|Drama,564.5,0.11880695921985829
31,Drama,564.5,0.10470057624113487
32,Mystery|Sci-Fi|Thriller,564.5,0.1951232269503548
33,Adventure|Romance|IMAX,564.5,0.09561546985815604
34,Children|Drama,564.5,0.10748581560283663
35,Drama|Romance,564.5,0.09919215425531927
36,Crime|Drama,564.5,0.14413918439716328
37,Documentary|IMAX,564.5,0.1295062056737587
38,Children|Comedy,564.5,0.07394171099290775
39,Comedy|Romance,564.5,0.10533577127659569
40,Drama,564.5,0.08670545212765934
41,Drama|War,564.5,0.12403058510638305
42,Action|Crime|Drama,564.5,0.11118993794326237
43,Drama,564.5,0.12874578900709202
44,Action|Adventure|Fantasy,564.5,0.12385483156028368
45,Comedy|Drama|Thriller,564.5,0.1120117464539007
46,Drama|Romance,564.5,0.09715713652482263
47,Mystery|Thriller,564.5,0.19891511524822708
48,Animation|Children|Drama|Musical|Romance,564.5,0.10733377659574464
49,Drama|Romance,564.5,0.0987105496453901
50,Crime|Mystery|Thriller,564.5,0.22003812056737593
51,Action|Drama|Thriller,,
52,Comedy|Drama|Romance,564.5,0.1161925975177304
53,Adventure|Drama,564.5,0.07856981382978731
54,Children|Comedy,564.5,0.07483865248226965
55,Drama,564.5,0.09118085106382963
56,Adventure|Children|Comedy|Fantasy,564.5,0.0947832446808511
57,Drama,564.5,0.08977570921985806
58,Comedy|Drama|Romance,564.5,0.1170538563829787
59,Drama|Mystery,564.5,0.10296498226950374
60,Adventure|Children|Fantasy,564.5,0.08848825354609931
61,Drama|Thriller,564.5,0.08115026595744675
62,Drama,564.5,0.1269038120567375
63,Comedy|Crime,564.5,0.09595124113475184
64,Comedy|Romance,564.5,0.08326573581560273
65,Comedy,564.5,0.10508067375886526
66,Action|Sci-Fi|Thriller,564.5,0.09535948581560284
67,Drama,564.5,0.08644326241134753
68,Comedy|Romance,564.5,0.09575155141843968
69,Comedy,564.5,0.11469725177304947
70,Action|Comedy|Horror|Thriller,564.5,0.14164649822695033
71,Action,564.5,0.09058710106382972
72,Comedy|Drama,564.5,0.09554321808510632
73,Drama|War,564.5,0.11932003546099287
74,Drama|Romance,564.5,0.08259862588652475
75,Comedy|Drama,564.5,0.06952061170212756
76,Action|Sci-Fi|Thriller,564.5,0.1046148049645389
77,Documentary,564.5,0.09651640070921981
78,Action|Crime|Drama|Thriller,564.5,0.09669259751773054
79,Drama|Thriller,564.5,0.08029410460992913
80,Children|Drama,564.5,0.0954913563829785
81,Crime|Drama|Romance,564.5,0.1294188829787233
82,Comedy|Drama,564.5,0.12838984929078012
83,Drama|Romance,564.5,0.10689893617021261
84,Comedy|Drama,564.5,0.08538741134751776
85,Drama|Romance,564.5,0.10264982269503553
86,Action|Adventure|Drama,564.5,0.10586414007092197
87,Children|Comedy,564.5,0.07629410460992904
88,Comedy,564.5,0.08621254432624106
89,Action|Thriller,564.5,0.10500620567375893
90,Drama,564.5,0.07858023049645395
92,Drama|Horror|Thriller,564.5,0.0844935726950353
93,Comedy|Horror|Romance,564.5,0.08524024822695028
94,Comedy|Drama|Romance,564.5,0.11593062943262408
95,Action|Adventure|Thriller,564.5,0.10467819148936174
96,Comedy|Drama,564.5,0.10363297872340421
97,Crime|Drama,564.5,0.15318262411347489
98,Action|Thriller,564.5,0.08594060283687939
99,Documentary,564.5,0.0842597517730495
100,Drama|Thriller,564.5,0.10294326241134737
101,Adventure|Comedy|Crime|Romance,564.5,0.14340048758865237
102,Comedy,564.5,0.09489428191489357
103,Mystery|Sci-Fi|Thriller,564.5,0.08693107269503543
104,Comedy,564.5,0.1120436613475177
105,Drama|Romance,564.5,0.10354609929077997
