,movieId,rating
1459,2,5.0
3864,3,5.0
5101,1,5.0
7276,3,5.0
9939,1,5.0
11842,1,5.0
12232,1,5.0
12504,1,5.0
12680,1,5.0
12896,1,5.0
13018,1,5.0
14342,1,4.5
15053,1,5.0
16297,1,5.0
17581,1,5.0
18332,1,5.0
18914,1,5.0
19222,1,4.5
19405,1,5.0
20794,1,4.5
23786,1,5.0
25280,1,5.0
26214,3,5.0
27382,3,5.0
27417,1,5.0
28362,1,4.5
30359,1,5.0
30451,1,5.0
31143,1,4.5
33186,1,5.0
33848,1,4.5
33931,2,5.0
33998,1,5.0
38164,1,5.0
38201,1,5.0
38562,1,5.0
41548,1,4.5
41988,1,5.0
42214,2,5.0
43623,1,5.0
44766,1,5.0
45959,1,5.0
46373,1,5.0
47278,1,5.0
47721,2,5.0
48076,1,5.0
49081,3,5.0
49259,1,4.5
50666,1,4.5
52950,1,5.0
53887,1,5.0
54413,1,4.5
56322,1,5.0
56411,1,4.5
57497,3,5.0
58982,1,5.0
59161,1,4.5
59868,2,5.0
60013,1,5.0
60015,3,4.5
61009,1,5.0
61010,3,5.0
63553,1,5.0
64212,1,4.5
66281,1,5.0
66550,1,5.0
66580,1,5.0
66581,2,4.5
68417,1,4.5
71921,1,5.0
72285,1,5.0
72734,1,5.0
73851,1,4.5
75111,1,4.5
75459,2,5.0
75567,2,5.0
75848,1,5.0
76927,1,4.5
79323,1,4.5
79822,1,5.0
80072,1,5.0
81081,1,5.0
81132,1,5.0
81298,1,4.5
83229,1,4.5
84061,1,5.0
85152,1,5.0
86715,2,4.5
86825,1,5.0
87918,1,5.0
88448,2,5.0
88721,1,5.0
89686,1,5.0
89773,1,5.0
90267,2,5.0
90349,1,5.0
91638,1,5.0
92222,1,4.5
93675,1,5.0
93676,2,5.0
95784,1,4.5
96254,1,5.0
97866,1,5.0
98608,1,5.0
98892,1,5.0
101239,1,5.0
101526,1,5.0
102539,1,5.0
102540,3,5.0
103032,2,4.5
103169,1,5.0
103767,1,4.5
103877,1,5.0
104510,1,5.0
105662,1,5.0
106983,1,5.0
106984,2,5.0
106985,3,5.0
107576,1,5.0
107966,1,5.0
108533,3,5.0
110062,1,5.0
110640,1,5.0
111345,1,4.5
116019,1,4.5
117050,1,5.0
124508,1,4.5
126706,1,5.0
127245,1,5.0
127246,2,5.0
128177,1,5.0
130523,1,5.0
133511,1,5.0
134415,1,5.0
134886,1,5.0
136274,1,5.0
137106,1,5.0
139387,1,5.0
140355,2,5.0
140679,1,4.5
143796,1,5.0
144080,1,5.0
144671,1,5.0
146684,1,5.0
147216,1,4.5
148364,1,4.5
150805,1,5.0
152021,2,4.5
153007,1,5.0
154222,1,5.0
154624,1,5.0
154881,1,5.0
156233,3,5.0
156749,1,5.0
157205,1,5.0
158260,1,4.5
159124,1,5.0
159258,1,5.0
159587,1,5.0
159749,1,5.0
159750,2,5.0
159851,1,5.0
161087,1,5.0
162384,1,4.5
162978,1,4.5
163136,1,5.0
163783,1,5.0
163839,1,5.0
164807,1,5.0
165219,1,5.0
166836,1,5.0
167266,1,4.5
167498,1,5.0
167666,1,5.0
167702,1,5.0
172340,1,5.0
173739,1,5.0
173926,1,4.5
174915,1,5.0
175067,1,4.5
178292,1,5.0
178519,1,5.0
179564,1,4.5
183426,1,5.0
183554,1,5.0
185018,1,5.0
186906,1,4.5
187291,1,5.0
187675,1,5.0
189321,1,5.0
189646,1,4.5
192477,3,5.0
192554,2,5.0
