,movieId,avg_rating,ratingcounts
0,1,3.893707794587238,57309
1,2,3.2515271586594023,24228
2,3,3.142028126058963,11804
3,4,2.85354736424891,2523
4,5,3.0584343520573674,11714
5,6,3.854908898649748,24588
6,7,3.3636663369601054,12132
7,8,3.1145833333333335,1344
8,9,2.992050660199407,3711
9,10,3.42145763311516,28265
10,11,3.6571705198920315,17042
11,12,2.6245656241646618,3741
12,13,3.333527696793003,1715
13,14,3.4234888364494465,5509
14,15,2.7190217391304348,2760
15,16,3.8237068028689416,18404
16,17,3.948806325713417,19729
17,18,3.3843505768515074,5374
18,19,2.6421677802524126,21552
19,20,2.869921875,3840
20,21,3.5701620505454055,22277
21,22,3.3200173216412256,9237
22,23,3.145691333982473,4108
23,24,3.18758389261745,7450
24,25,3.677304434479322,20070
25,26,3.606708513142409,2549
26,27,3.4039315155358274,1577
27,28,4.03,2950
28,29,3.936724864539434,8305
29,30,3.6367924528301887,1166
30,31,3.244838567977158,9106
31,32,3.9057678412037236,47054
32,33,3.023076923076923,65
33,34,3.6031917599186163,31456
34,35,3.4792899408284024,1352
35,36,3.91868681658758,19388
36,37,2.993333333333333,75
37,38,2.870839936608558,631
38,39,3.4187380861608845,26230
39,40,3.6267252195734003,797
40,41,3.843413033286451,4266
41,42,3.0495652173913044,2300
42,43,3.4499566724436743,2308
43,44,2.6546241414996707,10629
44,45,3.382907947260191,8267
45,46,3.2634129456559364,2889
46,47,4.0791663372598626,50596
47,48,2.9777505385929723,13461
48,49,3.5197368421052633,228
49,50,4.284353213163313,55366
50,51,2.607142857142857,28
51,52,3.532892426548051,8543
52,53,3.6496350364963503,137
53,54,2.8411316648531013,919
54,55,3.220329024676851,851
55,56,1.9153846153846155,65
56,57,3.320438282647585,2236
57,58,3.9679004101879234,10483
58,59,3.56353591160221,181
59,60,3.0958892617449663,5960
60,61,3.3160919540229883,2088
61,62,3.715354676022366,18242
62,63,3.083904109589041,2336
63,64,2.81395966029724,1884
64,65,2.37025520051469,4663
65,66,2.1376975169300225,2215
66,67,3.2975460122699385,163
67,68,3.4301601423487544,1124
68,69,3.5583216456287987,4278
69,70,3.326568919110356,14118
70,71,2.34567387687188,1202
71,72,3.4868532654792195,1179
72,73,3.796035568729159,2699
73,74,3.2880989180834623,3235
74,75,2.429657794676806,526
75,76,3.010046367851623,3235
76,77,3.4028436018957344,211
77,78,3.152790079716563,1129
78,79,3.1199367713890536,5061
79,80,3.7495145631067963,515
80,81,3.2527435982707016,3007
81,82,3.9923513986013988,2288
82,83,3.644320297951583,537
83,84,3.358156028368794,141
84,85,3.526833265055305,2441
85,86,3.4766641162968632,3921
86,87,2.349680170575693,938
87,88,3.107188160676533,4730
88,89,3.1294022617124395,3095
89,90,3.3333333333333335,201
90,92,2.8500473036896876,2114
91,93,2.4919938016528924,1936
92,94,3.5279255319148937,3760
93,95,3.077245421955237,20642
94,96,3.7004504504504503,444
95,97,3.9862332695984706,2615
96,98,2.5963855421686746,83
97,99,3.1010479041916166,668
98,100,3.2212201591511938,3770
99,101,3.7673501577287065,4438
100,102,2.4106463878326996,1841
101,103,3.2552581261950286,1046
102,104,3.3943981240229286,19190
103,105,3.3332222962469467,9006
104,106,3.436,125
105,107,3.2168744804655027,6015
106,108,3.0739130434782607,115
107,109,2.0625,16
108,110,4.002272573668559,59184
109,111,4.083479216009336,29133
110,112,3.40623288921336,10958
111,113,3.101010101010101,990
112,114,3.5891304347826085,230
113,115,3.5348837209302326,43
